"","Property_Rights","Government_Integrity","Judicial_Effectiveness","Tax_Burden","Government_Spending","Fiscal_Health","Business_Freedom","Labor_Freedom","Monetary_Freedom","Trade_Freedom","Investment_Freedom","Financial_Freedom","Cluster","Country","Promedio_10_Años_GDP_PerCap","Promedio_10_Años_Crec_pib","Efectividad.gobierno","Control.corrupcion","Cal.Regulacion","Voz_y_Rendicion_cuentas","Overall_score"
"85",30.7,22.7,24,90.5,94.7,69.2,48.9,57.6,10.1,71.4,30,30,"2","Lebanon",8100.22342487665,-2.32974070090212,-1.58038187026978,-1.22706246376038,-1.01446163654327,-0.654260396957397,48.3
"86",43.3,41.6,43.4,77.2,22.4,63.7,44.4,57.9,72.8,61.2,55,40,"2","Lesotho",1062.89023128761,0.229491360288438,-0.953606307506561,-0.509478509426117,-0.590149462223053,0.0299380328506231,51.9
"87",32.4,24.9,23.4,86.1,71.8,69.2,34.6,43.6,71.6,66.8,55,20,"2","Liberia",697.777899963087,1.85969766866797,-1.35536432266235,-0.888349294662476,-0.923699855804443,0.0538939349353313,49.9
"88",89.1,68,74.4,76.8,55.5,83.2,80.7,61.8,66.5,79.2,70,70,"1","Lithuania",19521.8316854541,3.34861520739087,1.05012118816376,0.781545519828796,1.33804214000702,1.07111299037933,72.9
"89",96.9,84.9,95.8,64.6,40.6,97.6,89.5,57.7,69.1,79.2,95,80,"1","Luxembourg",118186.153702089,2.27620394505433,1.91421329975128,1.92665910720825,1.92906320095062,1.63266289234161,79.2
"90",41.4,24.8,34.5,90.9,92.5,64,37.5,56.3,73,68.4,55,50,"2","Madagascar",486.981809544786,2.79144216679245,-1.02277612686157,-1.00018215179443,-0.799546599388123,-0.319516479969025,57.3
"91",48.6,36.3,52.8,77.6,82.2,8.7,30.8,55.9,64,68.4,50,50,"2","Malawi",550.273020375663,3.50649741041834,-0.859506547451019,-0.602811515331268,-0.772310614585876,0.0756149441003799,52.1
"92",65.7,48.2,65.6,83.9,81.4,42.8,70.5,58.2,79.1,83,60,50,"1","Malaysia",10593.1384686496,4.14423337158315,0.875369668006897,0.295621365308762,0.660894274711609,0.0876194089651108,65.7
"93",49.4,39,44.5,92.4,42.9,0,49.4,51.8,76.2,62.6,35,30,"2","Maldives",10211.586992881,6.49824517881566,-0.127973482012749,-0.396943330764771,-0.672039389610291,-0.137529924511909,47.8
"94",32.7,22.4,32.8,68,80.4,54.9,42.3,54.1,72.7,64,65,40,"2","Mali",797.470349695302,4.19644031250321,-1.13859808444977,-0.861831545829773,-0.679561257362366,-1.01174712181091,52.5
"95",86.3,55.3,89.9,69.6,45,14.5,77.5,64.4,71.8,79.2,70,50,"1","Malta",31541.8809269284,6.68178153154119,0.397335052490234,0.10974658280611,0.687359094619751,0.913654506206512,64.5
"96",35.3,22.9,28.1,76,85.9,94.8,34.4,60.3,72.7,63,50,40,"2","Mauritania",1790.70052868484,3.90289631640667,-0.763598620891571,-0.822652637958527,-0.997108280658722,-0.656128466129303,55.3
"97",86.4,52.3,81.2,91.5,74.7,30.4,78.9,69.1,66.7,87.4,70,70,"1","Mauritius",10311.4410094419,2.75198577925069,0.710137605667114,0.453197360038757,1.06447863578796,0.615706980228424,71.5
"98",46.5,29,39.4,76,77,66.9,71.2,58,68.3,76.8,75,60,"2","Mexico",10560.1564465951,1.44230390775946,-0.198361441493034,-1.02057874202728,-0.171988308429718,-0.115086063742638,62
"99",39.2,39.1,30.4,93,61.3,75.7,61,47.7,56.3,76,55,50,"2","Moldova",4212.81040714417,2.87059760578403,-0.164951995015144,-0.28033846616745,0.105498053133488,0.236791402101517,57.1
"100",48.8,34.8,55,84,62,64.3,68,67.5,67.9,74.4,50,50,"2","Mongolia",4307.03401261412,4.72014574468906,-0.47153577208519,-0.492604404687881,-0.175534680485725,0.250342100858688,60.6
"101",59,48.9,41.8,88.3,32.4,39.3,70.1,62.6,70.7,78.8,75,50,"1","Montenegro",8468.0913669628,3.27368978697151,0.247063115239143,-0.0793098732829094,0.374201148748398,0.342006295919418,59.7
"102",57.6,33.9,32.9,68,68.2,29.9,68.5,48.6,71.1,67.4,65,70,"2","Morocco",3426.30770596591,2.60261963826706,-0.0359151102602482,-0.536348581314087,-0.0642079934477806,-0.489260077476501,56.8
"103",31.1,25.4,44.5,74.1,69.2,47,36.3,47.7,71.9,70.6,40,50,"2","Mozambique",556.074475067112,4.16038570238519,-0.716628909111023,-0.828437745571136,-0.708528399467468,-0.593393087387085,50.7
"104",63.9,50.6,67.1,72.2,54.2,10.2,55.6,63.3,75.7,72,65,40,"1","Namibia",4717.0895150911,1.83734763958467,0.0308966562151909,-1.21649932861328,-0.0622607916593552,0.583879411220551,57.5
"105",37.7,35.6,43.7,84.3,78.1,68.5,60.5,48.2,70,58.2,10,30,"2","Nepal",1087.69569819148,4.29590018841768,-0.807803750038147,0.110072031617165,0.00958585739135742,-0.0231158602982759,52.1
"106",95.6,87.8,96.2,53.1,37.1,88.1,88.6,60.5,71.5,79.2,90,80,"1","Netherlands",53908.2501874851,1.90530175939976,1.62553191184998,-0.50792795419693,-0.661413729190826,1.55626440048218,77.3
"107",87.4,95.9,93.2,65.5,46.3,72.4,88.3,70.3,74.6,89.8,70,80,"1","New Zealand",43914.7407979012,2.80773399488378,1.5299768447876,1.86710047721863,1.79096639156342,1.68778347969055,77.8
"108",27.5,15.6,10.5,74.6,74.3,94.9,52.2,47.3,66.5,67.4,60,50,"2","Nicaragua",2106.7833967908,3.12004250169053,-1.08494555950165,2.08409547805786,1.91022837162018,-1.38733541965485,53.4
"109",38.4,31.6,37.3,77.6,84.5,40.5,34,54,72.3,63,55,40,"2","Niger",564.433068372819,5.41651619208716,-0.640915930271149,-1.38844013214111,-0.878058850765228,-0.695484280586243,52.3
"110",24.5,21.7,34.5,84.8,94.7,44.2,42.9,73.7,63.2,67.6,45,40,"2","Nigeria",2235.45246245989,2.44716195366119,-0.847906708717346,-0.563843965530396,-0.816925287246704,-0.548258185386658,53.1
"111",58.8,41.4,49.4,94.4,61.7,37.7,70,56.1,64.6,77.8,65,60,"1","Norway",85489.962580215,1.51078263698208,1.79993534088135,-0.34861546754837,0.427339255809784,1.77725434303284,77.5
"112",98.8,95.6,96.7,61.7,32.1,97.2,87.2,69.4,71.1,84.8,75,60,"1","Oman",20076.6349758041,2.46690568080857,0.274613231420517,2.11352157592773,1.59752345085144,-0.959140300750732,62.9
"113",72.7,42.2,24.2,97.6,59.4,73.8,65.5,53.3,80.3,76.2,60,50,"2","Pakistan",1401.2287012089,3.84865924644282,-0.577790379524231,0.215157955884933,0.434537470340729,0.547549784183502,49.5
"114",29.3,24.9,30.5,78.3,88.5,10.7,48.3,52.2,63.8,67.6,60,40,"2","Panama",15231.3281924193,4.57902179253715,-0.209720730781555,-0.999357461929321,-0.901008188724518,0.00501112267374992,64.1
"115",56.9,37.2,51.2,85.9,82.6,21.1,73.6,61.6,75.1,78.4,75,70,"1","Papua New Guinea",2618.31187608088,3.83972935611467,-0.802389979362488,-0.62809419631958,0.118782818317413,0.042024303227663,49.4
"116",42.9,28.7,43.6,71.9,84.8,17.2,34.9,64.9,70.8,77.8,25,30,"2","Paraguay",6072.61053629212,3.31991646525795,-0.462065368890762,-0.657154023647308,-0.642708241939545,0.060481496155262,60.1
"117",45,27.3,37.2,96,81.6,46.4,69,39.8,67.3,77.2,75,60,"2","Peru",6804.04569842255,2.61511804909787,-0.491872787475586,-1.05772292613983,-0.0789393484592438,-0.0168379731476307,64.8
"118",46.1,33.8,42.2,78.2,79.2,40.5,69.7,57.8,65.8,74.4,60,60,"2","Poland",15818.4325612019,3.4847610775394,0.421437799930573,-0.537639975547791,0.16425496339798,1.21128296852112,66
"119",72,58.3,52.2,72.6,38.5,67.4,74.6,58,68.9,79.2,80,70,"1","Portugal",22752.9731736652,1.74765095605526,0.987550020217896,0.565399944782257,0.780193567276001,-0.970600128173828,68.7
"120",89.4,65.5,90.6,59.8,33,65.2,79.3,57.6,75,79.2,70,60,"1","Qatar",74842.7549347489,2.05225657761996,1.19741261005402,0.696312069892883,0.755356550216675,0.503180325031281,68.8
"121",70.4,51.7,41.5,99.7,74,96.4,66.1,52.5,72.2,81.6,60,60,"2","Romania",12378.5928916088,3.35384712089062,-0.0926659479737282,0.702209830284119,0.637854039669037,-1.2855396270752,64.4
"122",20.9,25.9,32.1,89.8,59.7,95.6,54.4,57.4,58.9,69.4,30,30,"2","Rwanda",802.436201093503,6.49817636351588,0.388362646102905,-1.10467827320099,0.318900614976883,1.01960289478302,51.6
